by duration for ARI (years):,1,2,5,10,25,50,100,200,500,1000
5-min:,0.534,0.6,0.707,0.794,0.914,1.01,1.1,1.19,1.31,1.4
10-min:,0.783,0.879,1.04,1.16,1.34,1.47,1.61,1.74,1.92,2.05
15-min:,0.954,1.07,1.26,1.42,1.63,1.8,1.96,2.12,2.34,2.5
30-min:,1.44,1.62,1.91,2.15,2.47,2.71,2.95,3.19,3.5,3.74
60-min:,1.9,2.14,2.54,2.88,3.34,3.69,4.05,4.41,4.9,5.26
2-hr:,2.35,2.66,3.17,3.6,4.2,4.67,5.15,5.64,6.29,6.79
3-hr:,2.6,2.95,3.54,4.05,4.76,5.34,5.93,6.54,7.38,8.03
6-hr:,3.03,3.46,4.2,4.85,5.8,6.58,7.4,8.26,9.47,10.4
12-hr:,3.47,3.99,4.91,5.73,6.95,7.97,9.05,10.2,11.8,13.1
24-hr:,3.92,4.53,5.64,6.64,8.16,9.44,10.8,12.3,14.4,16.1
2-day:,4.42,5.11,6.37,7.54,9.34,10.9,12.5,14.4,17,19.1
3-day:,4.81,5.52,6.83,8.07,10,11.7,13.5,15.5,18.4,20.7
4-day:,5.18,5.9,7.24,8.53,10.5,12.3,14.2,16.3,19.3,21.8
7-day:,6.18,6.98,8.44,9.81,11.9,13.7,15.7,17.8,20.9,23.4
10-day:,7.05,7.92,9.48,10.9,13.1,14.9,16.8,18.9,22,24.4
20-day:,9.46,10.5,12.3,13.9,16.1,17.9,19.8,21.9,24.6,26.9
30-day:,11.5,12.7,14.8,16.5,18.9,20.8,22.7,24.7,27.3,29.4
45-day:,14.2,15.7,18.1,20.1,22.8,24.8,26.9,28.9,31.5,33.4
60-day:,16.6,18.4,21.2,23.5,26.5,28.7,30.8,32.9,35.5,37.4
,,,,,,,,,,
Date/time (GMT):  Tue Oct 11 18:41:44 2022,,,,,,,,,,
pyRunTime:  0.0256459712982,,,,,,,,,,
